<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MFON,D,20121128,000000,630.0000000
MFON,D,20121129,000000,630.0000000
MFON,D,20121130,000000,655.0000000
MFON,D,20121203,000000,660.0000000
MFON,D,20121204,000000,655.5000000
MFON,D,20121205,000000,672.0000000
MFON,D,20121206,000000,681.0000000
MFON,D,20121207,000000,679.1000000
MFON,D,20121210,000000,679.7000000
MFON,D,20121211,000000,695.0000000
MFON,D,20121212,000000,692.3000000
MFON,D,20121213,000000,688.6000000
MFON,D,20121214,000000,723.2000000
MFON,D,20121217,000000,742.4000000
MFON,D,20121218,000000,738.0000000
MFON,D,20121219,000000,750.0000000
MFON,D,20121220,000000,740.0000000
MFON,D,20121221,000000,721.5000000
MFON,D,20121224,000000,724.7000000
MFON,D,20121225,000000,723.8000000
MFON,D,20121226,000000,727.0000000
MFON,D,20121227,000000,725.3000000
MFON,D,20121228,000000,723.0000000
MFON,D,20130108,000000,748.0000000
MFON,D,20130109,000000,756.8000000
MFON,D,20130110,000000,760.0000000
MFON,D,20130111,000000,754.9000000
MFON,D,20130114,000000,755.1000000
MFON,D,20130115,000000,755.2000000
MFON,D,20130116,000000,768.3000000
MFON,D,20130117,000000,803.0000000
MFON,D,20130118,000000,790.0000000
MFON,D,20130121,000000,798.0000000
MFON,D,20130122,000000,792.4000000
MFON,D,20130123,000000,810.0000000
MFON,D,20130124,000000,822.3000000
MFON,D,20130125,000000,818.0000000
MFON,D,20130128,000000,813.2000000
MFON,D,20130129,000000,805.1000000
MFON,D,20130130,000000,806.2000000
MFON,D,20130131,000000,811.8000000
MFON,D,20130201,000000,830.0000000
MFON,D,20130204,000000,847.0000000
MFON,D,20130205,000000,845.0000000
MFON,D,20130206,000000,850.0000000
MFON,D,20130207,000000,847.5000000
MFON,D,20130208,000000,846.3000000
MFON,D,20130211,000000,848.4000000
MFON,D,20130212,000000,845.5000000
MFON,D,20130213,000000,848.5000000
MFON,D,20130214,000000,833.6000000
MFON,D,20130215,000000,829.6000000
MFON,D,20130218,000000,825.1000000
MFON,D,20130219,000000,829.4000000
MFON,D,20130220,000000,824.0000000
MFON,D,20130221,000000,811.9000000
MFON,D,20130222,000000,825.0000000
MFON,D,20130225,000000,820.0000000
MFON,D,20130226,000000,815.4000000
MFON,D,20130227,000000,834.4000000
MFON,D,20130228,000000,864.0000000
MFON,D,20130301,000000,893.6000000
MFON,D,20130304,000000,857.3000000
MFON,D,20130305,000000,866.0000000
MFON,D,20130306,000000,895.0000000
MFON,D,20130307,000000,910.3000000
MFON,D,20130311,000000,943.5000000
MFON,D,20130312,000000,944.8000000
MFON,D,20130313,000000,923.0000000
MFON,D,20130314,000000,934.8000000
MFON,D,20130315,000000,951.4000000
MFON,D,20130318,000000,955.0000000
MFON,D,20130319,000000,918.8000000
MFON,D,20130320,000000,934.4000000
MFON,D,20130321,000000,914.0000000
MFON,D,20130322,000000,895.2000000
MFON,D,20130325,000000,907.0000000
MFON,D,20130326,000000,929.9000000
MFON,D,20130327,000000,954.7000000
MFON,D,20130328,000000,963.4000000
MFON,D,20130329,000000,962.0000000
MFON,D,20130401,000000,968.4000000
MFON,D,20130402,000000,961.0000000
MFON,D,20130403,000000,957.4000000
MFON,D,20130404,000000,943.0000000
MFON,D,20130405,000000,870.0000000
MFON,D,20130408,000000,868.7000000
MFON,D,20130409,000000,906.6000000
MFON,D,20130410,000000,915.4000000
MFON,D,20130411,000000,905.0000000
MFON,D,20130412,000000,925.5000000
MFON,D,20130415,000000,900.1000000
MFON,D,20130416,000000,880.6000000
MFON,D,20130417,000000,888.2000000
MFON,D,20130418,000000,900.0000000
MFON,D,20130419,000000,883.0000000
MFON,D,20130422,000000,907.2000000
MFON,D,20130423,000000,894.0000000
MFON,D,20130424,000000,905.0000000
MFON,D,20130425,000000,895.0000000
MFON,D,20130426,000000,920.0000000
MFON,D,20130429,000000,935.0000000
MFON,D,20130430,000000,949.3000000
MFON,D,20130502,000000,963.4000000
MFON,D,20130503,000000,961.0000000
MFON,D,20130506,000000,954.8000000
MFON,D,20130507,000000,988.8000000
MFON,D,20130508,000000,970.1000000
MFON,D,20130510,000000,989.3000000
MFON,D,20130513,000000,993.5000000
MFON,D,20130514,000000,1040.0000000
MFON,D,20130515,000000,1035.0000000
MFON,D,20130516,000000,997.3000000
MFON,D,20130517,000000,1016.2000000
MFON,D,20130520,000000,1039.2000000
MFON,D,20130521,000000,1064.5000000
MFON,D,20130522,000000,1053.1000000
MFON,D,20130523,000000,1027.0000000
MFON,D,20130524,000000,1026.8000000
MFON,D,20130527,000000,1023.6000000
MFON,D,20130528,000000,1051.0000000
MFON,D,20130529,000000,1053.0000000
MFON,D,20130530,000000,1012.5000000
MFON,D,20130531,000000,991.6000000
MFON,D,20130603,000000,992.5000000
MFON,D,20130604,000000,1010.1000000
MFON,D,20130605,000000,1003.4000000
MFON,D,20130606,000000,1003.1000000
MFON,D,20130607,000000,1019.0000000
MFON,D,20130610,000000,1003.6000000
MFON,D,20130611,000000,951.3000000
MFON,D,20130613,000000,966.0000000
MFON,D,20130614,000000,986.1000000
MFON,D,20130617,000000,1032.0000000
MFON,D,20130618,000000,1040.1000000
MFON,D,20130619,000000,1041.7000000
MFON,D,20130620,000000,1000.4000000
MFON,D,20130621,000000,997.0000000
MFON,D,20130624,000000,990.6000000
MFON,D,20130625,000000,986.9000000
MFON,D,20130626,000000,990.0000000
MFON,D,20130627,000000,982.5000000
MFON,D,20130628,000000,1013.7000000
MFON,D,20130701,000000,1016.0000000
MFON,D,20130702,000000,1025.0000000
MFON,D,20130703,000000,1014.0000000
MFON,D,20130704,000000,1012.5000000
MFON,D,20130705,000000,1050.0000000
MFON,D,20130708,000000,1038.4000000
MFON,D,20130709,000000,1047.1000000
MFON,D,20130710,000000,1042.0000000
MFON,D,20130711,000000,1045.3000000
MFON,D,20130712,000000,1075.2000000
MFON,D,20130715,000000,1102.0000000
MFON,D,20130716,000000,1106.6000000
MFON,D,20130717,000000,1106.9000000
MFON,D,20130718,000000,1081.7000000
MFON,D,20130719,000000,1063.0000000
MFON,D,20130722,000000,1054.9000000
MFON,D,20130723,000000,1075.0000000
MFON,D,20130724,000000,1059.0000000
MFON,D,20130725,000000,1066.0000000
MFON,D,20130726,000000,1058.7000000
MFON,D,20130729,000000,1035.0000000
MFON,D,20130730,000000,1040.0000000
MFON,D,20130731,000000,1044.0000000
MFON,D,20130801,000000,1031.2000000
MFON,D,20130802,000000,1012.0000000
MFON,D,20130805,000000,1030.9000000
MFON,D,20130806,000000,1020.5000000
MFON,D,20130807,000000,1027.0000000
MFON,D,20130808,000000,1065.0000000
MFON,D,20130809,000000,1073.9000000
MFON,D,20130812,000000,1077.8000000
MFON,D,20130813,000000,1110.4000000
MFON,D,20130814,000000,1099.0000000
MFON,D,20130815,000000,1104.1000000
MFON,D,20130816,000000,1097.2000000
MFON,D,20130819,000000,1090.5000000
MFON,D,20130820,000000,1091.7000000
MFON,D,20130821,000000,1093.6000000
MFON,D,20130822,000000,1091.3000000
MFON,D,20130823,000000,1094.0000000
MFON,D,20130826,000000,1117.1000000
MFON,D,20130827,000000,1112.9000000
MFON,D,20130828,000000,1144.7000000
MFON,D,20130829,000000,1110.0000000
MFON,D,20130830,000000,1120.0000000
MFON,D,20130902,000000,1130.9000000
MFON,D,20130903,000000,1120.0000000
MFON,D,20130904,000000,1125.0000000
MFON,D,20130905,000000,1160.0000000
MFON,D,20130906,000000,1167.0000000
MFON,D,20130909,000000,1165.0000000
MFON,D,20130910,000000,1146.8000000
MFON,D,20130911,000000,1140.0000000
MFON,D,20130912,000000,1142.1000000
MFON,D,20130913,000000,1125.5000000
MFON,D,20130916,000000,1126.0000000
MFON,D,20130917,000000,1147.5000000
MFON,D,20130918,000000,1185.0000000
MFON,D,20130919,000000,1178.0000000
MFON,D,20130920,000000,1148.3000000
MFON,D,20130923,000000,1150.1000000
MFON,D,20130924,000000,1166.3000000
MFON,D,20130925,000000,1168.0000000
MFON,D,20130926,000000,1156.4000000
MFON,D,20130927,000000,1149.2000000
MFON,D,20130930,000000,1146.2000000
MFON,D,20131001,000000,1157.8000000
MFON,D,20131002,000000,1131.1000000
MFON,D,20131003,000000,1175.8000000
MFON,D,20131004,000000,1195.9000000
MFON,D,20131007,000000,1180.0000000
MFON,D,20131008,000000,1227.5000000
MFON,D,20131009,000000,1219.9000000
MFON,D,20131010,000000,1203.9000000
MFON,D,20131011,000000,1189.9000000
MFON,D,20131014,000000,1201.3000000
MFON,D,20131015,000000,1210.0000000
MFON,D,20131016,000000,1188.0000000
