<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20121128,000000,227.9000000
MTSS,D,20121129,000000,230.0000000
MTSS,D,20121130,000000,231.7300000
MTSS,D,20121203,000000,235.8000000
MTSS,D,20121204,000000,237.8100000
MTSS,D,20121205,000000,240.0000000
MTSS,D,20121206,000000,239.4000000
MTSS,D,20121207,000000,237.6000000
MTSS,D,20121210,000000,236.3500000
MTSS,D,20121211,000000,237.1300000
MTSS,D,20121212,000000,239.0000000
MTSS,D,20121213,000000,239.1500000
MTSS,D,20121214,000000,241.7700000
MTSS,D,20121217,000000,241.0000000
MTSS,D,20121218,000000,242.2200000
MTSS,D,20121219,000000,243.7200000
MTSS,D,20121220,000000,242.6300000
MTSS,D,20121221,000000,243.1800000
MTSS,D,20121224,000000,244.8000000
MTSS,D,20121225,000000,245.0700000
MTSS,D,20121226,000000,246.4900000
MTSS,D,20121227,000000,243.3800000
MTSS,D,20121228,000000,246.0000000
MTSS,D,20130108,000000,252.5000000
MTSS,D,20130109,000000,251.0000000
MTSS,D,20130110,000000,247.7000000
MTSS,D,20130111,000000,246.7000000
MTSS,D,20130114,000000,248.3000000
MTSS,D,20130115,000000,246.7100000
MTSS,D,20130116,000000,247.8900000
MTSS,D,20130117,000000,250.5500000
MTSS,D,20130118,000000,250.6900000
MTSS,D,20130121,000000,250.2500000
MTSS,D,20130122,000000,249.9900000
MTSS,D,20130123,000000,251.1500000
MTSS,D,20130124,000000,250.4700000
MTSS,D,20130125,000000,252.2700000
MTSS,D,20130128,000000,256.3000000
MTSS,D,20130129,000000,254.8900000
MTSS,D,20130130,000000,255.4800000
MTSS,D,20130131,000000,255.1200000
MTSS,D,20130201,000000,253.4900000
MTSS,D,20130204,000000,257.0000000
MTSS,D,20130205,000000,259.3000000
MTSS,D,20130206,000000,258.9800000
MTSS,D,20130207,000000,258.0000000
MTSS,D,20130208,000000,258.3800000
MTSS,D,20130211,000000,263.9800000
MTSS,D,20130212,000000,264.0100000
MTSS,D,20130213,000000,266.1100000
MTSS,D,20130214,000000,263.4700000
MTSS,D,20130215,000000,264.9200000
MTSS,D,20130218,000000,264.5100000
MTSS,D,20130219,000000,264.0000000
MTSS,D,20130220,000000,263.2500000
MTSS,D,20130221,000000,259.0100000
MTSS,D,20130222,000000,262.5000000
MTSS,D,20130225,000000,264.3500000
MTSS,D,20130226,000000,262.0000000
MTSS,D,20130227,000000,261.4000000
MTSS,D,20130228,000000,267.7300000
MTSS,D,20130301,000000,270.9000000
MTSS,D,20130304,000000,270.4000000
MTSS,D,20130305,000000,273.2500000
MTSS,D,20130306,000000,277.5000000
MTSS,D,20130307,000000,281.4500000
MTSS,D,20130311,000000,283.7000000
MTSS,D,20130312,000000,282.1000000
MTSS,D,20130313,000000,281.0000000
MTSS,D,20130314,000000,282.2900000
MTSS,D,20130315,000000,280.5800000
MTSS,D,20130318,000000,273.5700000
MTSS,D,20130319,000000,271.5000000
MTSS,D,20130320,000000,273.0000000
MTSS,D,20130321,000000,270.5000000
MTSS,D,20130322,000000,271.0000000
MTSS,D,20130325,000000,276.7900000
MTSS,D,20130326,000000,273.9900000
MTSS,D,20130327,000000,275.0000000
MTSS,D,20130328,000000,277.0200000
MTSS,D,20130329,000000,276.4300000
MTSS,D,20130401,000000,278.3500000
MTSS,D,20130402,000000,279.8700000
MTSS,D,20130403,000000,275.5900000
MTSS,D,20130404,000000,270.1900000
MTSS,D,20130405,000000,261.2000000
MTSS,D,20130408,000000,264.1400000
MTSS,D,20130409,000000,264.5000000
MTSS,D,20130410,000000,266.3000000
MTSS,D,20130411,000000,268.2500000
MTSS,D,20130412,000000,269.2600000
MTSS,D,20130415,000000,261.8500000
MTSS,D,20130416,000000,264.7200000
MTSS,D,20130417,000000,263.3000000
MTSS,D,20130418,000000,258.8000000
MTSS,D,20130419,000000,263.0000000
MTSS,D,20130422,000000,257.8200000
MTSS,D,20130423,000000,259.4800000
MTSS,D,20130424,000000,263.8600000
MTSS,D,20130425,000000,271.0000000
MTSS,D,20130426,000000,274.8800000
MTSS,D,20130429,000000,273.5400000
MTSS,D,20130430,000000,274.0000000
MTSS,D,20130502,000000,271.1100000
MTSS,D,20130503,000000,274.5000000
MTSS,D,20130506,000000,277.6000000
MTSS,D,20130507,000000,273.4500000
MTSS,D,20130508,000000,273.2000000
MTSS,D,20130510,000000,262.4800000
MTSS,D,20130513,000000,259.8500000
MTSS,D,20130514,000000,257.7000000
MTSS,D,20130515,000000,259.5500000
MTSS,D,20130516,000000,259.1600000
MTSS,D,20130517,000000,263.9200000
MTSS,D,20130520,000000,261.9400000
MTSS,D,20130521,000000,268.2800000
MTSS,D,20130522,000000,272.9600000
MTSS,D,20130523,000000,265.4000000
MTSS,D,20130524,000000,265.1200000
MTSS,D,20130527,000000,261.4800000
MTSS,D,20130528,000000,263.9900000
